meter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster
BR02,0.9176494954492629,0.8069129779424455,0.7746033207147706,0.7494735873154679,0.6950718567697246,0.5296574578006881,0.747264379983661,1.0571057082695692,0.962938245751303,1.3155829660909688,1.566327998251044,1.6094075412212774,1.9758598073847355,1.6265288980427803,1.3663947347225258,0.6064274125809754,0.4307954297023323,0.5097745918144265,0.4244439586233876,0.9298001357742005,1.0637333302649896,1.119791966309588,1.2421268223083917,0.9723273769114821,0
BR04,1.0350752167096415,0.9254052373116342,0.8563777636687959,0.8547710673732676,0.8020956157058882,0.7394690127887843,0.698610553230453,0.7055469893880301,0.8074167174158104,0.9794196025586206,1.1557761163731854,1.1668156747908487,1.1026342044909754,1.0505547853203243,1.0658356764320978,1.1162652085465878,1.180895862757039,1.0855565777368905,1.0588214969053822,1.0907221927085358,1.1220009415585819,1.132237151828481,1.1105294755345938,1.1571668588655515,1
BR05,1.2298529080314946,1.0540962951741566,0.997786785000388,1.0200445598879722,0.9833325327825543,0.8764774780433553,0.8005704848012356,0.9294172852460953,1.1019815479203536,0.8043835697421363,0.6678219230215002,0.7355706880179717,0.7761844764582648,0.8045609225300853,0.7453250913551599,0.7808843253389101,0.6319079834618525,0.6307551903401848,0.9070708339645367,1.059594231600572,1.395323059187798,1.8356013552708876,1.7999534448931631,1.4315030279293692,1
BR06,0.7504991004698637,0.6295690608725976,0.6104314100562368,0.5840907905942057,0.558943190845592,0.559956809098345,0.6292192280243022,0.8506589359587242,1.4890814589151034,1.4854575494096849,1.1443570672121965,1.1358175576845777,1.112342876556658,1.3833018726709345,1.8366134834774057,1.5316982758959,1.1541030515627828,0.7501761778406679,0.6644716150448307,0.8073334832083036,1.1797305502186735,1.1470570591951939,1.0172107670029136,0.9878786281843059,0
BR08,0.4853363045990869,0.4761564238377555,0.5396173386660901,0.4577966623150927,0.45360584718491964,0.5240514538968759,2.063677107672351,3.3875755635565383,1.426274082635557,1.211345135245254,0.9082095074960711,0.67412254808212,0.447219843177037,0.5992865636147443,0.7553445365573783,0.7651231051944488,1.0774386137049632,1.1927858110973448,1.5747486758188303,1.2159350756259195,1.0578814764308222,1.0794342399574264,1.0043986928648045,0.6226353907685656,0
BR09,0.7107107849630435,0.6752324688054681,0.6728163827588949,0.659591490714494,0.744408827191565,1.1737091689405783,0.8451214666066178,1.0465467454367237,1.3905211010146503,1.2206321032135006,1.288409674941055,1.122208387421517,1.358730495138687,0.9464699181391899,0.9624923835006757,0.9515564150793441,1.141409913370599,1.1278035340556865,1.1478951969692954,1.1740906562110898,1.0816435743237873,0.9716480779929532,0.8068455771319575,0.7795056560786288,0
BR11,0.6698276763896178,0.6671131302311567,0.6498709338807728,0.6580038429247,0.6402895515902359,0.6581755138280018,0.7375840360365837,1.1120841115896638,1.094702432630347,1.7300457163191971,1.270772402829351,0.9973864893210863,0.947945269170141,0.9879231307765693,1.0613982773897797,0.9909595598787216,1.0932646888151936,1.0697243161999217,1.133328385873273,1.1846472565290826,1.191793057879024,1.294044539658214,1.2750534459804421,0.8840622342789242,0
BR12,0.23484760327619392,0.22038222262006,0.20971221411627805,0.20434140446672336,0.21257664592937386,0.4669739963299468,1.13270375509108,1.8710110549165289,2.2954840442196662,1.6845723492816544,1.3042116099001924,1.1713019737725463,1.4942308553014367,1.443387190618986,0.9736203732712707,0.9642035536857182,0.7736114219218548,0.8769457995792866,1.0555073177281475,1.2841963926061855,1.4000268540482477,1.3766817347715168,0.9185874770621673,0.4308821554849394,0
BR13,0.22491467461574038,0.2825207025882877,0.30192526475344256,0.28661226997593,0.3170762172581772,0.3572221903389046,0.30779929714164184,0.5819343121136726,0.8552591157218138,0.7001441501051586,0.9646781604150981,1.5797096067436591,1.5771169303792125,1.8795283219509886,2.953868590468538,2.7864789226889566,2.121659988049382,1.4917611631934478,1.3965208173682306,1.155199362633727,0.8798490306158618,0.4815491241277568,0.2787532197462013,0.23791856700616773,0
BR15,0.8671167068007194,0.8417418722340643,0.8420821314974455,0.8176515163866733,0.790634930874204,0.7560560832330866,0.740302079338536,1.3213798363778264,1.5710365644022175,1.265960108854609,1.0695709685125494,0.9625934561054915,0.9469755559162932,1.2393943668661198,1.4224283311204666,1.1010024179673903,0.9424501077133229,0.8789322097216323,0.956783529183257,1.1069229291502236,1.090692562286939,0.8441236870777328,0.7743280056766586,0.8498400427025375,0
