cluster,number_of_meters,total_energy,average_energy,average_voltage,average_current,average_frequency,zero_energy_percentage
0,23,58190.79,0.0197,217.7315,1.8253,45.3828,14.0599
1,10,17351.886,0.0213,228.0942,2.0297,47.101,10.063
